1022.003,24603.000,0.000
-815.996,22511.000,0.000
313.641,20408.719,0.000
3455.664,21704.721,0.000
5430.674,23940.721,0.000
8416.718,21367.719,0.000
10349.742,17983.719,0.000
9311.762,16438.711,0.000
7692.771,16433.707,0.000
6381.793,17856.699,0.000
4092.802,18159.699,0.000
3399.798,16042.692,0.000
5689.812,14222.675,0.000
7590.818,13660.660,0.000
9486.823,13959.646,0.000
11136.834,15264.644,0.000
12241.857,16703.648,0.000
12559.865,18257.633,0.000
11715.881,20287.629,0.000
10066.896,22674.625,0.000
11121.916,24736.627,0.000
9676.935,26373.629,0.000
7037.949,25504.629,0.000
4802.960,26005.629,0.000
3699.965,27500.629,0.000
2739.969,29501.629,0.000
1077.972,32813.629,0.000
-595.026,34154.629,0.000
-3232.027,35095.629,0.000
-5689.026,36270.629,0.000
-7469.038,34466.629,0.000
-5486.066,32228.633,0.000
-5786.070,29616.633,0.000
-5025.080,27244.633,0.000
-2107.084,27689.633,0.000
57.922,28307.633,0.000
957.922,26253.633,0.000
